aqs_id_full,geoid,area_land
840999999993,360810635001,0.089887
840999999993,360810635002,0.099573
840999999993,360810657021,0.144106
840999999993,360810621002,0.120046
840999999993,360810657032,0.100449
840999999993,360810613021,0.487033
840999999993,360810637003,0.27002
840999999993,360810657033,0.074376
840999999993,360810561001,2.822179
840999999993,360810619001,0.133043
840999999993,360810623002,0.074927
840999999993,360810627001,0.092414
840999999993,360810655011,0.812085
840999999993,360810619002,0.124815
840999999993,360810633022,0.076828
840999999993,360810657031,0.093626
840999999993,360810637004,0.143472
840999999993,360810629001,0.067896
840999999993,360810625002,0.106904
840999999993,360810641021,2.225376
840999999993,360810629002,0.067344
840999999993,360810639001,0.161402
840999999994,360810837002,0.083107
840999999994,360810837003,0.096386
840999999994,360810809002,0.056862
840999999994,360810809004,0.097516
840999999994,360811227024,0.078502
840999999994,360810837005,0.249668
840999999994,360810799001,0.157354
840999999994,360811215002,0.124338
840999999994,360810779061,0.133393
840999999994,360810779025,0.063434
840999999994,360810803021,0.141035
840999999994,360810809001,0.133416
840999999994,360811227021,0.111951
840999999994,360810779062,0.155682
840999999994,360810837004,0.170889
840999999994,360810837001,0.180731
840999999994,360810803023,0.148379
840999999994,360811227032,0.100055
840999999994,360811227031,0.08629
840999999994,360810803012,0.11688
840999999994,360810803022,0.149214
840999999994,360810809006,0.101528
840999999994,360810809007,0.466752
840999999994,360810793001,0.87407
840999999994,360810809005,0.083399
840999999994,360811227023,0.113859
840999999994,360811227025,0.072885
840999999994,360810803013,0.10853
840999999994,360811211001,0.97972
840999999994,360811227022,0.072543
840999999994,360810779021,0.067673
840999999994,360811215003,0.139847
840999999994,360810809003,0.06177
840999999995,360610070021,0.018566
840999999995,360610109001,0.175741
840999999995,360610095001,0.08608
840999999995,360610072005,0.024222
840999999995,360610091002,0.023009
840999999995,360610103002,0.06661
840999999995,360610094001,0.087386
840999999995,360610068001,0.048993
840999999995,360610097002,0.086447
840999999995,360610080005,0.025502
840999999995,360610058003,0.076519
840999999995,360610074001,0.037877
840999999995,360610080006,0.036805
840999999995,360610121021,0.027668
840999999995,360610072007,0.013088
840999999995,360610113001,0.175653
840999999995,360610119001,0.088724
840999999995,360610082001,0.03677
840999999995,360610092001,0.050085
840999999995,360610103001,0.107858
840999999995,360610115001,0.087821
840999999995,360610096002,0.074384
840999999995,360610125004,0.036811
840999999995,360610072006,0.013118
840999999995,360610078002,0.033890000000000003
840999999995,360610080002,0.012108
840999999995,360610072002,0.038401
840999999995,360610119002,0.088867
840999999995,360610076001,0.100994
840999999995,360610121011,0.045262
840999999995,360610080003,0.024261
