model,att,se_att,t,df,p_value,stars,type,area,aqs_id_full,week,month,spec
cbsa2,-0.5597803368360695,0.014334139223940124,-39.052246395176205,293,0,***,per_week,NA,NA,14,NA,2
cbsa2,-0.4979415349460932,0.013929945757721563,-35.74612160065859,293,0,***,per_week,NA,NA,15,NA,2
cbsa2,-0.5134903832837581,0.017347909503978087,-29.599553950060006,278,0,***,per_week,NA,NA,16,NA,2
cbsa2,-0.4632947900102668,0.016950490390223567,-27.332235194651275,272,0,***,per_week,NA,NA,17,NA,2
cbsa2,-0.4319639227366143,0.018234801720772544,-23.68898380970789,272,0,***,per_week,NA,NA,18,NA,2
cbsa2,-0.3400347824385264,0.01564943011696563,-21.72825335472714,293,0,***,per_week,NA,NA,19,NA,2
cbsa2,-0.2770691025039655,0.015160291063227818,-18.275975134541643,293,0,***,per_week,NA,NA,20,NA,2
cbsa2,-0.18999158952855263,0.012692293201574695,-14.969051416569934,293,0,***,per_week,NA,NA,21,NA,2
cbsa2,-0.1850688622043182,0.019286095088019647,-9.59597374998329,209,0,***,per_week,NA,NA,22,NA,2
cbsa2,-1.1802987070482955,0.009070540126036586,-130.12441273042828,1175,0,***,per_month,NA,NA,NA,1,2
cbsa2,-0.9548869759272312,0.008167030694450288,-116.91972415092084,1175,0,***,per_month,NA,NA,NA,2,2
cbsa2,-0.7182352978648423,0.007288495905772367,-98.54369229953356,1301,0,***,per_month,NA,NA,NA,3,2
cbsa2,-0.5096147271493031,0.0075601570920722175,-67.40795474788463,1220,0,***,per_month,NA,NA,NA,4,2
cbsa2,-0.289237069839774,0.007413506293171575,-39.01488154210973,1283,0,***,per_month,NA,NA,NA,5,2
cbsa2,-0.12858857225052236,0.03116672495912357,-4.125828826069198,41,1.7612676979616992e-4,***,per_month,NA,NA,NA,6,2
cbsa3,-0.7043069800579064,0.0035677344592177627,-197.41014588073574,6200,0,***,overall,NA,NA,NA,NA,3
cbsa3,-0.6879776381528987,0.006292356651324468,-109.33544874766235,1898,0,***,per_area,cbsa,NA,NA,NA,3
cbsa3,-0.7434218723062469,0.009927020775667377,-74.88871929516716,893,0,***,per_area,crz,NA,NA,NA,3
cbsa3,-0.7032603795628413,0.0048070162669228474,-146.29873096165426,3407,0,***,per_area,nyc,NA,NA,NA,3
cbsa3,-0.7213938934578665,0.023529182171966,-30.659539638286965,148,0,***,per_sensor,NA,840340030010,NA,NA,3
